,yt_id,start_time,end_time,tag_strings,laughter
0,--5OkAjCI7g,40.000,50.000,"['/m/07sq110', '/m/0ytgt']",True
1,--AQYzDx57k,0.000,10.000,"['/m/07rgt08', '/m/09x0r']",True
2,--sIMPsphRI,10.000,20.000,"['/m/01j3sz', '/m/05tny_', '/m/068hy', '/m/07rgt08', '/m/07s04w4', '/m/09x0r', '/m/0bt9lr', '/m/0jbk']",True
3,-1rvxdiILiM,30.000,40.000,"['/m/04rlf', '/m/07rgt08']",True
4,-3c6pnDzbt8,0.000,10.000,"['/m/01j3sz', '/m/09x0r']",True
5,-4hvX2WDpQ4,30.000,40.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
6,-4kV3ulsTJc,440.000,450.000,"['/m/07sq110', '/t/dd00126']",True
7,-4xwnohPCZI,550.000,560.000,"['/m/01j3sz', '/m/09x0r']",True
8,-4yy61BH-O8,0.000,10.000,['/m/01j3sz'],True
9,-539StsfSbI,80.000,90.000,"['/m/07s04w4', '/m/09x0r']",True
10,-5AwGn04sAU,20.000,30.000,"['/m/07r660_', '/m/09x0r']",True
11,-5Sj7EVDce0,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
12,-5iktaMzAaA,170.000,180.000,"['/m/01j3sz', '/m/09x0r']",True
13,-6edE-cOufc,0.000,10.000,"['/m/01j3sz', '/m/02p3nc', '/m/09x0r']",True
14,-91PdNFrijM,50.000,60.000,['/m/07s04w4'],True
15,-9dePyMcKUg,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
16,-9vvYUOEKDA,0.000,10.000,['/m/01j3sz'],True
17,-A1p92eMiGg,10.000,20.000,"['/m/07r660_', '/m/09x0r', '/t/dd00125']",True
18,-AR9XvI-wBI,0.000,10.000,"['/m/01j3sz', '/m/09x0r']",True
19,-AXUlQNaJb0,40.000,50.000,"['/m/01j3sz', '/m/03qc9zr', '/m/07r660_']",True
20,-AXjv1cRfpo,260.000,270.000,"['/m/01j3sz', '/m/09x0r']",True
21,-AYwFAcUzSo,420.000,430.000,"['/m/07rgt08', '/m/09x0r']",True
22,-AhIU7Dnzmg,210.000,220.000,"['/m/07rgt08', '/m/09x0r']",True
23,-Ap3jpVdFWU,80.000,90.000,['/m/01j3sz'],True
24,-Bbv1_U0xBY,190.000,200.000,"['/m/07rgt08', '/m/09x0r']",True
25,-CKH00MxC8Q,250.000,260.000,['/m/01j3sz'],True
26,-DIzyAwdDHg,50.000,60.000,"['/m/07sq110', '/m/09x0r', '/t/dd00125']",True
27,-DgFyFjzBxc,150.000,160.000,"['/m/07rgt08', '/m/09x0r']",True
28,-Ds6H5UECSA,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
29,-DzUDgNOPDw,50.000,60.000,"['/m/01j3sz', '/m/07sq110', '/m/09x0r', '/m/0ytgt']",True
30,-E7V7enQN88,30.000,40.000,['/m/07s04w4'],True
31,-Elrv1A-wmM,80.000,90.000,"['/m/01j3sz', '/m/02cz_7', '/m/07s04w4', '/m/09x0r']",True
32,-FKKcenrc3M,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
33,-FoClxkytjM,30.000,40.000,"['/m/01j3sz', '/m/09x0r', '/m/0y4f8']",True
34,-FrxFBIUmos,20.000,30.000,"['/m/07rgt08', '/m/09x0r']",True
35,-G0Z7d-BI6U,310.000,320.000,"['/m/01j3sz', '/m/09x0r']",True
36,-H53wmeBhwE,20.000,30.000,"['/m/01j3sz', '/m/07rgt08', '/m/07sq110']",True
37,-HyUH30KfyE,20.000,30.000,"['/m/01j3sz', '/m/07sq110']",True
38,-IgmQO_5wGo,170.000,180.000,"['/m/01j3sz', '/m/09x0r']",True
39,-J-26OD2Qr0,170.000,180.000,"['/m/01j3sz', '/m/07s04w4', '/m/09x0r']",True
40,-Jx_QdOJF0Q,30.000,40.000,"['/m/07rgt08', '/m/07s04w4', '/m/09x0r']",True
41,-KosQ2rNFoA,110.000,120.000,"['/m/01j3sz', '/m/07s04w4', '/m/09x0r']",True
42,-LcxFpiPde0,220.000,230.000,"['/m/01j3sz', '/m/09x0r']",True
43,-MVhc_VLXy0,210.000,220.000,"['/m/07rgt08', '/m/09x0r']",True
44,-MYgL7-stMw,190.000,200.000,['/m/01j3sz'],True
45,-OJek7d6ars,410.000,420.000,"['/m/01j3sz', '/m/04rlf', '/t/dd00126']",True
46,-OdhZ2ZgA04,40.000,50.000,"['/m/01j3sz', '/m/04rlf', '/m/05zppz', '/m/07qfr4h', '/m/09x0r']",True
47,-Oy_wYXdNLM,20.000,30.000,['/m/01j3sz'],True
48,-Poa-OxOw2Y,20.000,30.000,"['/m/01j3sz', '/m/09x0r']",True
49,-QgDuU3hUYQ,70.000,80.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
50,-R9DAUdTERI,150.000,160.000,['/m/01j3sz'],True
51,-RRJMkzuqlQ,400.000,410.000,"['/m/07rgt08', '/m/09x0r']",True
52,-S9xth9xqPU,0.000,4.000,['/m/01j3sz'],True
53,-TIzY-XcCJ8,570.000,580.000,"['/m/07s04w4', '/m/09x0r']",True
54,-T_uw2LeDWU,70.000,80.000,"['/m/07r660_', '/m/09x0r', '/m/0ytgt', '/t/dd00001']",True
55,-ThUDfEiCUw,370.000,380.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
56,-UolgqlTe2I,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
57,-UrmDG_szOw,270.000,280.000,"['/m/01j3sz', '/m/09x0r']",True
58,-VG83taAFcY,200.000,210.000,"['/m/01j3sz', '/m/09x0r']",True
59,-VKryMKMBtI,30.000,40.000,"['/m/07rgt08', '/m/07s04w4']",True
60,-VcqC_zuYGg,70.000,80.000,"['/m/01j3sz', '/m/07sq110', '/m/09x0r', '/t/dd00125']",True
61,-VrBXIJDv00,220.000,230.000,"['/m/02zsn', '/m/07s04w4', '/m/09x0r']",True
62,-W5UivtuV_o,110.000,120.000,"['/m/01j3sz', '/m/04rlf', '/m/07qfr4h', '/m/09x0r']",True
63,-W62FZ95BUw,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
64,-WW5fn_aMZ0,40.000,50.000,"['/m/01j3sz', '/m/09x0r']",True
65,-YI4h25K0Gc,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
66,-Ys-x44_RW4,200.000,210.000,"['/m/07s04w4', '/m/09x0r']",True
67,-YvvpxAbIII,270.000,280.000,"['/m/04rlf', '/m/09x0r', '/t/dd00001', '/t/dd00125']",True
68,-YwZOeyAQC8,10.000,20.000,['/m/01j3sz'],True
69,-ZIuWJQLPD0,50.000,60.000,['/m/01j3sz'],True
70,-ZPHPSlvaus,40.000,50.000,['/m/01j3sz'],True
71,-ZapunerJsQ,140.000,150.000,"['/m/04rlf', '/m/09x0r', '/t/dd00001']",True
72,-_NWFPRbOtU,30.000,40.000,"['/m/07r660_', '/m/09x0r']",True
73,-_hyDjUVtgs,280.000,290.000,['/m/01j3sz'],True
74,-ac5-njNYFk,230.000,240.000,"['/m/015lz1', '/m/07rgt08']",True
75,-amxaCPPGKI,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
76,-anCRnXvjnY,120.000,130.000,"['/m/07s04w4', '/m/09x0r']",True
77,-c0E4rpx2RU,130.000,140.000,"['/m/01j3sz', '/m/09x0r']",True
78,-c0P9j5Qcmw,70.000,80.000,"['/m/07s04w4', '/m/09x0r', '/m/0bt9lr', '/m/0jbk']",True
79,-cG6rOHxO2s,140.000,150.000,"['/m/02p3nc', '/m/07s04w4', '/m/09x0r']",True
80,-d515LJsyrM,30.000,40.000,['/m/01j3sz'],True
81,-dC9BwNjef0,250.000,260.000,"['/m/07rgt08', '/m/09x0r']",True
82,-defuBDcq-o,390.000,400.000,"['/m/01j3sz', '/m/09x0r']",True
83,-e5CAw-_UzE,10.000,20.000,"['/m/01j3sz', '/m/02zsn', '/m/09x0r']",True
84,-eThijmni8I,50.000,60.000,"['/m/07rgt08', '/m/09x0r']",True
85,-ebHrsOX5Kk,50.000,60.000,"['/m/01j3sz', '/m/09x0r']",True
86,-fgpijuYZw8,40.000,50.000,['/m/01j3sz'],True
87,-g-vKZfzunc,250.000,260.000,['/m/01j3sz'],True
88,-gZpEgIbCyg,20.000,30.000,"['/m/01hsr_', '/m/01j3sz', '/m/09x0r']",True
89,-h3IaTS3GWM,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
90,-hNuD6Upm04,100.000,110.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
91,-hTV6-uVQvE,110.000,120.000,"['/m/01j3sz', '/m/0c1dj']",True
92,-hXw8JMu1mg,40.000,50.000,"['/m/01j3sz', '/m/02_nn']",True
93,-hlEMlNWUPg,30.000,40.000,"['/m/07rgt08', '/m/07s04w4', '/m/09x0r']",True
94,-hvbMS-_BHE,10.000,20.000,"['/m/01j3sz', '/m/068hy', '/m/0bt9lr', '/m/0jbk', '/t/dd00001']",True
95,-io3E0CbFzs,50.000,60.000,"['/m/01j3sz', '/m/09x0r']",True
96,-j0JNQeUZO0,50.000,60.000,"['/m/07rgt08', '/m/0ytgt']",True
97,-j6qPmHQ6ns,0.000,10.000,"['/m/01j3sz', '/m/028v0c', '/t/dd00125']",True
98,-jR6zkus6nc,30.000,40.000,['/m/07r660_'],True
99,-j_kHwRgw0I,580.000,590.000,"['/m/01j3sz', '/m/09x0r']",True
100,-jiRpZ_RumA,30.000,40.000,"['/m/01j3sz', '/m/09x0r']",True
101,-kPFMRo8ri0,40.000,50.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
102,-ktP8i7gcso,100.000,110.000,"['/m/01j3sz', '/m/04rlf']",True
103,-l1eztcQKAw,20.000,30.000,"['/m/015lz1', '/m/07rgt08', '/m/0ytgt']",True
104,-lL0OaeQtEQ,30.000,40.000,"['/m/07qz6j3', '/m/09x0r', '/m/0ytgt', '/t/dd00001']",True
105,-n-McN0qco0,40.000,50.000,"['/m/01j3sz', '/m/07rgt08']",True
106,-nK-nHIhoiM,50.000,60.000,"['/m/01j3sz', '/m/07sq110', '/m/09x0r', '/t/dd00001']",True
107,-oDH8OfDJgU,40.000,50.000,"['/m/01j3sz', '/m/04rlf']",True
108,-oQBwLnV61U,0.000,10.000,"['/m/01j3sz', '/m/09x0r']",True
109,-o_boHx6cno,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
110,-opANickjJU,160.000,170.000,"['/m/01j3sz', '/m/09x0r']",True
111,-pIltppUUkc,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
112,-q4z3-tTFfs,130.000,140.000,"['/m/01j3sz', '/m/09x0r']",True
113,-qVFkK8IIaM,10.000,20.000,"['/m/01j3sz', '/m/07s04w4', '/m/09x0r']",True
114,-qr_fhecDjw,30.000,40.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
115,-rVWVPuzapU,30.000,40.000,['/m/01j3sz'],True
116,-saFMqj-M8I,30.000,40.000,['/t/dd00001'],True
117,-scktuy9RXs,90.000,100.000,"['/m/07r660_', '/m/09x0r', '/t/dd00125']",True
118,-szeMToBrRE,60.000,70.000,"['/m/01b_21', '/m/01j3sz', '/m/09x0r']",True
119,-tJ9sTomm7w,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
120,-thD0vxyOlk,150.000,160.000,"['/m/04rlf', '/m/07s04w4', '/m/09x0r']",True
121,-tzU3IECBmg,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
122,-ua4kmBeRtk,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
123,-vQ-rOrFzzA,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
124,-vuG8mxLDfs,160.000,170.000,['/m/01j3sz'],True
125,-w1s7Hf-IP0,150.000,160.000,"['/m/01j3sz', '/m/02p3nc', '/m/09x0r']",True
126,-wlouNYY_3w,50.000,60.000,"['/m/01j3sz', '/m/09x0r']",True
127,-x08oTAv1qI,190.000,200.000,['/m/01j3sz'],True
128,-xD-b8dp7Hs,70.000,80.000,"['/m/07sq110', '/m/09x0r', '/m/0ytgt', '/t/dd00125']",True
129,-xHSqG40NoM,40.000,50.000,['/m/01j3sz'],True
130,-xZg3XHE8EE,190.000,200.000,"['/m/01j3sz', '/m/09x0r']",True
131,-xpqqyipOOw,30.000,40.000,"['/m/07s04w4', '/m/09x0r']",True
132,-yC5MzMAJfU,450.000,460.000,"['/m/07s04w4', '/m/09x0r']",True
133,-z-1R1VxTZo,0.000,10.000,"['/m/07r660_', '/m/09x0r', '/t/dd00129']",True
134,0-Qj2Uymp_o,30.000,40.000,"['/m/07r660_', '/m/09x0r']",True
135,0-c8jQZf5LY,0.000,10.000,"['/m/01j3sz', '/m/0261r1', '/t/dd00125']",True
136,0-mLww6ooHY,360.000,370.000,"['/m/01j3sz', '/m/09x0r']",True
137,0-nJxMuqw3Q,480.000,490.000,"['/m/07rgt08', '/m/09x0r']",True
138,001MzJlnyqc,20.000,30.000,"['/m/07sq110', '/m/09x0r']",True
139,01TbXvFheiY,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
140,01fEno3IxBU,100.000,110.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
141,025wYGIVcgg,10.000,20.000,['/m/01j3sz'],True
142,02NRjUaryuQ,70.000,80.000,"['/m/01j3sz', '/m/09x0r']",True
143,02hiviH83ys,170.000,180.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
144,02rkLaCL28E,10.000,20.000,"['/m/01j3sz', '/m/09x0r', '/m/0ytgt']",True
145,04J0cpsLlOA,160.000,170.000,['/m/01j3sz'],True
146,052KW_6olAM,240.000,250.000,"['/m/07s04w4', '/m/09x0r']",True
147,05Plf6nWRUc,470.000,480.000,['/m/01j3sz'],True
148,07vQkS6bFno,10.000,20.000,"['/m/01j3sz', '/m/09x0r']",True
149,08MQGzE_aMQ,120.000,130.000,"['/m/07s04w4', '/m/09x0r']",True
150,09j5p7PwIro,30.000,40.000,"['/m/07rgt08', '/m/09x0r']",True
151,0A5xOkjlwtk,10.000,20.000,"['/m/01j3sz', '/m/04rlf', '/m/09x0r']",True
