,Unnamed: 0,person,cam,hit_id,condition,calibration,hash,ini_time,end_time,_ini_time,_end_time,gt_onset,gt_offset,gt_laughter,is_laughter,confidence,intensity,attempt,pressed_key,onset,offset,rating_hash
0,0,25,1,9c45e4f0c5442e796eb93e73e94dc6c2dfca7b9c4c54ff9314ab0956fc1f454a,video,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,7,4,0,True,3.33667,6.639973,7af591213b827db95c12c56e76e0b1fe518f2088d11aad07c5f41a1fc1b7115b
1947,1947,25,1,bff9b86d833a595e6fe5a54f45093fa168cda45db1143e93aa2c503f47bc2d07,video,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,1,6,0,True,2.569236,6.639973,25df21dc0f25e11a7c4aba77e502269d42a7bb548044f2e906c8e2a9f2b8d908
546,546,25,1,4198c11729cea33268040a725998f16478a6564d4af091b2d40b84d727e35aaa,audio,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,7,5,0,True,2.10322,4.26322,2cb0148d83e939600a9e1d71872ba748334e4d8d0cafa0afbde800df01daadd7
2440,2440,25,1,a9760ede24043c59a0151b09a46e866fa43f74bd60b682d8e061fe0cd6074e8b,audio,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,7,6,0,True,2.78322,4.14322,b3cc8b0750211f5b5100f20641793ad043dc7cc823ad9ab7d0e4c25efd27ee97
1058,1058,25,1,f4c9842cec7be99eeaaea36d0c7d077c4d5d94596dc731af8576ff5b0df51ebc,av,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,7,7,0,True,2.792656,3.893757,bf6cd2aeaf7c77c2c2ff873e6f603b7d46cd64c74e9ebd8bcda5d577cfaf11d3
2715,2715,25,1,eecc0cf5d634ce45a98cbbda30c922f2a2cfcb1877124cbe40ff7b5dbe7cd1a0,av,False,1170917790b51bc5a8dacacc4d8ed8c410b7ea6bb7ea4b3cf2a296809cc1e488,7360.29,7361.54,7358.022086600808,7364.710238285113,2.2679133991923663,4.420238285112646,True,True,4,5,0,True,2.692556,4.160691,5e161ddc0b4b35ca47cf769cf612f6d48015bb3b95763e44f21adb8b9f6a1a78
979,979,35,3,f4c9842cec7be99eeaaea36d0c7d077c4d5d94596dc731af8576ff5b0df51ebc,video,False,11bc9d8aca57ab2aef4c5305b080fa49c08665d9e94190f8777a6fa8079e0fdd,2216.02,2216.54,2213.600368497624,2219.948860275861,2.419631502375978,3.9288602758610978,True,False,3,4,0,False,,,e56c0edb6a0870ea94b570507d246cb56c9ab3b1919a059ee34256aecd171991
2744,2744,35,3,eecc0cf5d634ce45a98cbbda30c922f2a2cfcb1877124cbe40ff7b5dbe7cd1a0,video,False,11bc9d8aca57ab2aef4c5305b080fa49c08665d9e94190f8777a6fa8079e0fdd,2216.02,2216.54,2213.600368497624,2219.948860275861,2.419631502375978,3.9288602758610978,True,False,5,4,0,False,,,4c6a7bdcbec4e912d140f9a9ae4a196e0b55f0e5eff6b3936ea05f40c5fc1d3a
1,1,35,3,9c45e4f0c5442e796eb93e73e94dc6c2dfca7b9c4c54ff9314ab0956fc1f454a,audio,False,11bc9d8aca57ab2aef4c5305b080fa49c08665d9e94190f8777a6fa8079e0fdd,2216.02,2216.54,2213.600368497624,2219.948860275861,2.419631502375978,3.9288602758610978,True,True,7,2,0,True,2.94322,3.58322,9681c8a0e3fe8bd905960c03539881a978f8afdba94cc464a61b90cd53c358ff
1955,1955,35,3,bff9b86d833a595e6fe5a54f45093fa168cda45db1143e93aa2c503f47bc2d07,audio,False,11bc9d8aca57ab2aef4c5305b080fa49c08665d9e94190f8777a6fa8079e0fdd,2216.02,2216.54,2213.600368497624,2219.948860275861,2.419631502375978,3.9288602758610978,True,False,6,4,0,False,,,8951b546ad587df6eb29600f1a927bc0af552060b84001336ef03a01c8266749
