youtube_id,time_start,time_end,label
-1QHAHq6DnE,138,148,cooking egg
-5wZIPAiHzo,96,106,cooking egg
-b9DAD0puU4,162,172,cooking egg
-IVX-ERJDqE,235,245,cooking egg
-JRT9aCAVsA,32,42,cooking egg
-NM9jWuf4hM,111,121,cooking egg
-ZfEt3R5GeA,40,50,cooking egg
06oYtk5kQnM,35,45,cooking egg
0876oOigu4I,2,12,cooking egg
0EIRf8Y6nfI,102,112,cooking egg
0jDhXM7j9F8,229,239,cooking egg
0w7YOvqgO2I,113,123,cooking egg
0xciMnHCZL0,44,54,cooking egg
0_WZHFQOD64,144,154,cooking egg
10WySJtAyms,435,445,cooking egg
11J84KX8K3w,88,98,cooking egg
12_f_NEzN9o,0,10,cooking egg
1376ITxF1Oc,233,243,cooking egg
1CAA1ciBgKY,9,19,cooking egg
1lwykC3RZb4,41,51,cooking egg
1oVouwUDJDQ,71,81,cooking egg
1p9jOT2Zgkg,106,116,cooking egg
1ruzPN0fSKw,340,350,cooking egg
1tg7VPXV8eI,312,322,cooking egg
21jxy4pXfYA,3,13,cooking egg
23U9MipPsFU,188,198,cooking egg
2BG2HElGz00,117,127,cooking egg
2GjVwLP1VXE,396,406,cooking egg
2Loh388cF5M,7,17,cooking egg
2NJ-D6EqcOI,0,10,cooking egg
2RhWAD09BK4,25,35,cooking egg
2T-O7apS96c,169,179,cooking egg
2_mqSmwUUik,58,68,cooking egg
3bpw8Kb0gXo,24,34,cooking egg
3gb6zzVCx7E,9,19,cooking egg
3gbgSCV9hbM,872,882,cooking egg
3hZA_JBYTuQ,99,109,cooking egg
42dbuhteL4o,70,80,cooking egg
4hYIqGwrqKs,18,28,cooking egg
4LkwZEKIwwo,100,110,cooking egg
4R7DoPGcFNo,112,122,cooking egg
4VGhTiA46ik,195,205,cooking egg
4vr6MOsEir8,27,37,cooking egg
4YE3WPXH9HA,468,478,cooking egg
51sP0r4xwiM,13,23,cooking egg
56iGWaEnQus,170,180,cooking egg
59HPzpjlwtc,91,101,cooking egg
5bh1_n5zkrQ,142,152,cooking egg
5bkVp24x1WU,6,16,cooking egg
5hOPBxkYQl8,94,104,cooking egg
5kJE6Ih3aW8,189,199,cooking egg
5l958NH9A1c,2,12,cooking egg
5sU-8bi8n3g,0,10,cooking egg
5vcvKFQp2kI,269,279,cooking egg
5xxhaQAOpbE,100,110,cooking egg
5_hdfOtEMU4,34,44,cooking egg
6awDtwRpr6Y,25,35,cooking egg
6YPRRB-uQ6Q,240,250,cooking egg
74QrDMGtzYw,20,30,cooking egg
7FUwnFHUzQ0,190,200,cooking egg
7ghuy9qjdJY,299,309,cooking egg
7mfhFSlLhbE,217,227,cooking egg
7nATl1wFAbA,184,194,cooking egg
7uT9_9bpRco,15,25,cooking egg
8-Kps3hNimQ,150,160,cooking egg
